day,start_time,end_time,type,subject_id,division,batch,faculty_id
Monday,12:30 PM,1:30 PM,theory,DJS22ITC304,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Wednesday,10:00 AM,12:00 PM,practical,DJS22ITC304,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb418
Wednesday,1:30 PM,2:30 PM,theory,DJS22ITC304,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Thursday,11:30 AM,12:30 PM,theory,DJS22ITC304,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Thursday,12:30 PM,2:30 PM,practical,DJS22ITC304,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb418
Monday,2:00 PM,3:00 PM,theory,DJS22ITC304,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Monday,3:30 PM,5:30 PM,practical,DJS22ITC304,I3,1,664a0d49-edf6-4715-950d-1a8dd01fb418
Tuesday,1:30 PM,2:30 PM,theory,DJS22ITC304,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Tuesday,3:00 PM,5:00 PM,practical,DJS22ITC304,I3,2,664a0d49-edf6-4715-950d-1a8dd01fb418
Thursday,8:00 AM,9:00 AM,theory,DJS22ITC304,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb418
