day,start_time,end_time,type,subject_id,division,batch,faculty_id
Monday,3:00 PM,4:00 PM,theory,DJS22ITC301,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Tuesday,8:00 AM,9:00 AM,theory,DJS22ITC301,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Wednesday,2:30 PM,3:30 PM,theory,DJS22ITC301,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Wednesday,3:30 PM,4:30 PM,theory,DJS22ITC301,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Friday,12:00 PM,1:00 PM,theory,DJS22ITC301,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Friday,9:00 AM,10:00 AM,theory,DJS22ITC301,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Saturday,11:00 AM,12:00 PM,theory,DJS22ITC301,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Saturday,3:30 PM,4:30 PM,theory,DJS22ITC301,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb415
Monday,10:30 AM,12:30 PM,practical,DJS22ITC304,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb417
Monday,12:30 PM,1:30 PM,theory,DJS22ITC304,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb417
Tuesday,9:00 AM,10:00 AM,theory,DJS22ITC304,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb417
Thursday,2:30 PM,3:30 PM,theory,DJS22ITC304,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb417
Monday,1:30 PM,2:30 PM,theory,DJS22ITC303,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb416
Thursday,12:00 PM,2:00 PM,practical,DJS22ITC303,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb416
Friday,10:00 AM,11:00 AM,theory,DJS22ITC303,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb416
Saturday,12:30 PM,1:30 PM,theory,DJS22ITC303,I1,0,664a0d49-edf6-4715-950d-1a8dd01fb416
Saturday,1:30 PM,3:30 PM,practical,DJS22ITC303,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb416
Friday,8:00 AM,10:00 AM,practical,DJS22ITC306,I3,2,664a0d49-edf6-4715-950d-1a8dd01fb416
Thursday,10:00 AM,12:00 PM,practical,DJS22ITC306,I3,1,664a0d49-edf6-4715-950d-1a8dd01fb416
Thursday,9:00 AM,10:00 AM,theory,DJS22ITC301,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb419
Friday,1:30 PM,2:30 PM,theory,DJS22ITC301,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb419
Saturday,8:00 AM,9:00 AM,theory,DJS22ITC301,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb419
Saturday,10:30 AM,11:30 AM,theory,DJS22ITC301,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb419
Monday,12:30 PM,1:30 PM,theory,DJS22ITC304,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Wednesday,10:00 AM,12:00 PM,practical,DJS22ITC304,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb418
Wednesday,1:30 PM,2:30 PM,theory,DJS22ITC304,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Thursday,11:30 AM,12:30 PM,theory,DJS22ITC304,I2,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Thursday,12:30 PM,2:30 PM,practical,DJS22ITC304,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb418
Monday,2:00 PM,3:00 PM,theory,DJS22ITC304,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Monday,3:30 PM,5:30 PM,practical,DJS22ITC304,I3,1,664a0d49-edf6-4715-950d-1a8dd01fb418
Tuesday,1:30 PM,2:30 PM,theory,DJS22ITC304,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Tuesday,3:00 PM,5:00 PM,practical,DJS22ITC304,I3,2,664a0d49-edf6-4715-950d-1a8dd01fb418
Thursday,8:00 AM,9:00 AM,theory,DJS22ITC304,I3,0,664a0d49-edf6-4715-950d-1a8dd01fb418
Tuesday,12:30 PM,2:30 PM,practical,DJS22ITC307,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb420
Thursday,10:00 AM,12:00 PM,practical,DJS22ITC307,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb420
