day,start_time,end_time,type,subject_id,division,batch,faculty_id
Thursday,12:30 PM,1:30 PM,theory,DJ19ITC502,I2,,664a0d49-edf6-4715-950d-1a8dd01fb406
Wednesday,10:00 AM,11:00 AM,theory,DJ19ITC502,I2,,664a0d49-edf6-4715-950d-1a8dd01fb406
Saturday,1:30 PM,2:30 PM,theory,DJ19ITC502,I2,,664a0d49-edf6-4715-950d-1a8dd01fb406
Wednesday,12:30 PM,2:30 PM,practical,DJ19ITC502,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb406
Wednesday,10:00 AM,12:00 PM,practical,DJ19ITC502,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb406
Monday,3:00 PM,5:00 PM,practical,DJS22ITC302,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb406
Tuesday,11:30 AM,12:30 PM,theory,DJS22ITC302,I1,,664a0d49-edf6-4715-950d-1a8dd01fb406
Thursday,10:00 AM,12:00 PM,practical,DJS22ITC302,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb406
Friday,2:00 PM,3:00 PM,theory,DJS22ITC302,I1,,664a0d49-edf6-4715-950d-1a8dd01fb406
Saturday,10:00 AM,11:00 AM,theory,DJS22ITC302,I1,,664a0d49-edf6-4715-950d-1a8dd01fb406
