day,start_time,end_time,type,subject_id,division,batch,faculty_id
Monday,12:30 PM,1:30 PM,theory,DJ19ITC502,I1,,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,11:30 AM,12:30 PM,theory,DJ19ITC502,I1,,8065a250-0d80-49fd-9452-7cb70e6b47ad
Saturday,1:30 PM,2:30 PM,theory,DJ19ITC502,I1,,8065a250-0d80-49fd-9452-7cb70e6b47ad
Monday,8:00 AM,10:00 AM,practical,DJ19ITC502,I1,2,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,1:30 PM,3:30 PM,practical,DJ19ITC502,I1,1,8065a250-0d80-49fd-9452-7cb70e6b47ad
Tuesday,9:00 AM,10:00 AM,theory,DJS22ITC305,I2,,8065a250-0d80-49fd-9452-7cb70e6b47ad
Wednesday,12:00 PM,1:00 PM,theory,DJS22ITC305,I2,,8065a250-0d80-49fd-9452-7cb70e6b47ad
Thursday,12:30 PM,2:30 PM,practical,DJS22ITC305,I2,1,8065a250-0d80-49fd-9452-7cb70e6b47ad
Friday,10:00 AM,11:00 AM,theory,DJS22ITC305,I2,,8065a250-0d80-49fd-9452-7cb70e6b47ad
Friday,12:00 PM,2:00 PM,practical,DJS22ITC305,I2,2,8065a250-0d80-49fd-9452-7cb70e6b47ad
