day,start_time,end_time,type,subject_id,division,batch,faculty_id
Tuesday,2:30 PM,3:30 PM,theory,DJ19ITEC5013,I2,,566cd371-76b8-4b67-997d-d6ffe8781be4
Saturday,11:30 AM,12:30 PM,theory,DJ19ITEC5013,I2,,566cd371-76b8-4b67-997d-d6ffe8781be4
Wednesday,12:30 PM,2:30 PM,practical,DJ19ITEC5013,I2,1,566cd371-76b8-4b67-997d-d6ffe8781be4
Thursday,8:00 AM,10:00 AM,practical,DJ19ITEC5013,I2,2,566cd371-76b8-4b67-997d-d6ffe8781be4
Monday,1:30 PM,2:30 PM,theory,DJS22ITC303,I2,,566cd371-76b8-4b67-997d-d6ffe8781be4
Tuesday,8:00 AM,9:00 AM,theory,DJS22ITC303,I2,,566cd371-76b8-4b67-997d-d6ffe8781be4
Wednesday,9:00 AM,10:00 AM,theory,DJS22ITC303,I2,,566cd371-76b8-4b67-997d-d6ffe8781be4
Monday,12:00 PM,1:00 PM,theory,DJS22ITC303,I3,,566cd371-76b8-4b67-997d-d6ffe8781be4
Tuesday,11:30 PM,12:30 PM,theory,DJS22ITC303,I3,,566cd371-76b8-4b67-997d-d6ffe8781be4
Thursday,10:00 AM, 12:00 PM,practical,DJS22ITC303,I3,2,566cd371-76b8-4b67-997d-d6ffe8781be4
Friday,10:00 AM, 12:00 PM,practical,DJS22ITC303,I3,1,566cd371-76b8-4b67-997d-d6ffe8781be4
Friday,12:30 PM,1:30 PM,theory,DJS22ITC303,I3,,566cd371-76b8-4b67-997d-d6ffe8781be4
