day,start_time,end_time,type,subject_id,division,batch,faculty_id
Tuesday,12:30 PM,1:30 PM,theory,DJ19ITC501,I2,,664a0d49-edf6-4715-950d-1a8dd01fb408
Thursday,2:30 PM,3:30 PM,theory,DJ19ITC501,I2,,664a0d49-edf6-4715-950d-1a8dd01fb408
Saturday,10:00 AM,11:00 AM,theory,DJ19ITC501,I2,,664a0d49-edf6-4715-950d-1a8dd01fb408
Saturday,12:30 PM,2:30 PM,practical,DJ19ITEC5013,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb408
Friday,10:00 AM,12:00 PM,practical,DJ19ITC501,I2,2,664a0d49-edf6-4715-950d-1a8dd01fb408
Monday,10:00 AM,12:00 PM,practical,DJS22ITC302,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb408
Tuesday,10:00 AM,11:00 AM,theory,DJS22ITC302,I2,,664a0d49-edf6-4715-950d-1a8dd01fb408
Wednesday,10:00 AM,12:00 PM,practical,DJS22ITC302,I2,1,664a0d49-edf6-4715-950d-1a8dd01fb408
Thursday,10:00 AM,11:00 AM,theory,DJS22ITC302,I2,,664a0d49-edf6-4715-950d-1a8dd01fb408
Friday,8:00 AM,9:00 AM,theory,DJS22ITC302,I2,,664a0d49-edf6-4715-950d-1a8dd01fb408
