day,start_time,end_time,type,subject_id,division,batch,faculty_id
Monday,11:30 AM,12:30 PM,theory,DJ19ITC504,I1,,664a0d49-edf6-4715-950d-1a8dd01fb410
Wednesday,12:30 PM,1:30 PM,theory,DJ19ITC504,I1,,664a0d49-edf6-4715-950d-1a8dd01fb410
Saturday,11:30 AM,12:30 PM,theory,DJ19ITC504,I1,,664a0d49-edf6-4715-950d-1a8dd01fb410
Saturday,8:00 AM,10:00 AM,practical,DJ19ITC504,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb410
Saturday,12:30 PM,2:30 PM,practical,DJ19ITC701,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb410
Tuesday,10:30 AM,11:00 AM,theory,DJS22ITC305,I1,,664a0d49-edf6-4715-950d-1a8dd01fb410
Thursday,12:00 PM,2:00 PM,practical,DJS22ITC305,I1,2,664a0d49-edf6-4715-950d-1a8dd01fb410
Thursday,3:30 PM,4:30 PM,theory,DJS22ITC305,I1,,664a0d49-edf6-4715-950d-1a8dd01fb410
Friday,8:00 AM,10:00 AM,practical,DJS22ITC305,I1,1,664a0d49-edf6-4715-950d-1a8dd01fb410
Friday,1:00 PM,2:00 PM,theory,DJS22ITC305,I1,,664a0d49-edf6-4715-950d-1a8dd01fb410
